44
4579,CA-2015-110947,6/9/2015,6/15/2015,Standard Class,AG-10765,Anthony Garverick,Home Office,United States,Hampton,Virginia,23666,South,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,113.1,3,0,56.55
4580,US-2014-150126,7/27/2014,8/2/2014,Standard Class,AS-10045,Aaron Smayling,Corporate,United States,New York City,New York,10035,East,OFF-PA-10002709,Office Supplies,Paper,Xerox 1956,65.78,11,0,32.2322
4581,CA-2015-164427,7/31/2015,8/6/2015,Standard Class,AR-10405,Allen Rosenblatt,Corporate,United States,Hattiesburg,Mississippi,39401,South,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,239.7,6,0,105.468
4582,CA-2016-120250,9/19/2016,9/22/2016,First Class,AP-10720,Anne Pryor,Home Office,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10003424,Furniture,Furnishings,Nu-Dell Oak Frame,25.632,3,0.2,3.8448
4583,CA-2016-121993,6/10/2016,6/12/2016,First Class,JB-16000,Joy Bell-,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-LA-10003720,Office Supplies,Labels,Avery 487,23.616,8,0.2,7.9704
4584,US-2016-100405,8/26/2016,8/28/2016,Second Class,TS-21430,Tom Stivers,Corporate,United States,Los Angeles,California,90045,West,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,8.26,2,0,3.7996
4585,US-2017-163790,11/2/2017,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-EN-10001335,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",76.58,7,0,38.29
4586,US-2017-163790,11/2/2017,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk,8.8,5,0,4.224
4587,US-2017-163790,11/2/2017,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-BI-10003718,Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,590.352,6,0.2,206.6232
4588,US-2017-163790,11/2/2017,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-FA-10004838,Office Supplies,Fasteners,"Super Bands, 12/Pack",5.58,3,0,0.1674
4589,US-2017-163790,11/2/2017,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,FUR-FU-10002508,Furniture,Furnishings,Document Clip Frames,25.02,3,0,10.5084
4590,US-2017-163790,11/2/2017,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,452.55,7,0,22.6275
4591,CA-2016-129868,12/26/2016,12/31/2016,Standard Class,MC-18130,Mike Caudle,Corporate,United States,Los Angeles,California,90004,West,OFF-SU-10000952,Office Supplies,Supplies,Fiskars Home & Office Scissors,17.76,2,0,4.9728
4592,CA-2016-129868,12/26/2016,12/31/2016,Standard Class,MC-18130,Mike Caudle,Corporate,United States,Los Angeles,California,90004,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,302.384,2,0.2,30.2384
4593,CA-2016-129868,12/26/2016,12/31/2016,Standard Class,MC-18130,Mike Caudle,Corporate,United States,Los Angeles,California,90004,West,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",146.352,3,0.2,-5.4882
4594,CA-2016-129868,12/26/2016,12/31/2016,Standard Class,MC-18130,Mike Caudle,Corporate,United States,Los Angeles,California,90004,West,OFF-AP-10004052,Office Supplies,Appliances,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",7.9,2,0,2.054
4595,CA-2016-129868,12/26/2016,12/31/2016,Standard Class,MC-18130,Mike Caudle,Corporate,United States,Los Angeles,California,90004,West,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,902.712,3,0.2,33.8517
4596,CA-2016-129868,12/26/2016,12/31/2016,Standard Class,MC-18130,Mike Caudle,Corporate,United States,Los Angeles,California,90004,West,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,53.97,3,0,15.1116
4597,CA-2016-140564,12/5/2016,12/10/2016,Second Class,TC-21475,Tony Chapman,Home Office,United States,Washington,District of Columbia,20016,East,OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",33.92,8,0,13.2288
4598,US-2017-169502,8/28/2017,9/1/2017,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Milwaukee,Wisconsin,53209,Central,OFF-SU-10004115,Office Supplies,Supplies,Acme Stainless Steel Office Snips,21.81,3,0,5.8887
4599,US-2017-169502,8/28/2017,9/1/2017,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Milwaukee,Wisconsin,53209,Central,OFF-AP-10001947,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,91.6,5,0,26.564
4600,CA-2015-146948,7/16/2015,7/20/2015,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Baltimore,Maryland,21215,East,FUR-CH-10004853,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",150.98,1,0,43.7842
4601,CA-2015-146948,7/16/2015,7/20/2015,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Baltimore,Maryland,21215,East,OFF-EN-10000483,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",137.25,9,0,63.135
4602,CA-2015-146948,7/16/2015,7/20/2015,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Baltimore,Maryland,21215,East,OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",11.52,4,0,5.4144
4603,US-2015-113327,5/26/2015,5/29/2015,Second Class,BF-11170,Ben Ferrer,Home Office,United States,Jacksonville,North Carolina,28540,South,OFF-PA-10003790,Office Supplies,Paper,Xerox 1991,18.272,1,0.2,5.9384
4604,US-2015-113327,5/26/2015,5/29/2015,Second Class,BF-11170,Ben Ferrer,Home Office,United States,Jacksonville,North Carolina,28540,South,OFF-PA-10003134,Office Supplies,Paper,Xerox 1937,153.728,4,0.2,53.8048
4605,US-2015-113327,5/26/2015,5/29/2015,Second Class,BF-11170,Ben Ferrer,Home Office,United States,Jacksonville,North Carolina,28540,South,OFF-EN-10004459,Office Supplies,Envelopes,Security-Tint Envelopes,12.224,2,0.2,4.4312
